"Story","Title","Result","Date","Stability","Duration (s)"
"Dummy rest CRUD test","This will create a new employee","ERROR","2022-06-08T02:46:31.388+01:00[Europe/London]","0.0","7.34"
"Dummy rest CRUD test","This will Read an employee by ID","ERROR","2022-06-08T02:46:38.819+01:00[Europe/London]","0.0","4.1"
"Dummy rest CRUD test","This will Update an employee by ID","ERROR","2022-06-08T02:46:42.919+01:00[Europe/London]","0.0","4.09"
"Dummy rest CRUD test","This will Delete an employee by ID","ERROR","2022-06-08T02:46:47.006+01:00[Europe/London]","0.0","4.06"
"Dummy rest CRUD test","1. Verify if total records are 24","ERROR","2022-06-08T02:46:51.069+01:00[Europe/London]","0.0","4.06"
"Dummy rest CRUD test","2. Verify if 24th Data id is 24","ERROR","2022-06-08T02:46:55.124+01:00[Europe/London]","0.0","4.08"
"Dummy rest CRUD test","3. Verify if 23rd employee name is Doris Wilder","ERROR","2022-06-08T02:46:59.203+01:00[Europe/London]","0.0","4.05"
"Dummy rest CRUD test","4. Verify if message is Successfully! All records has been fetched","ERROR","2022-06-08T02:47:03.248+01:00[Europe/London]","0.0","4.1"
"Dummy rest CRUD test","5. Verify if status is success","ERROR","2022-06-08T02:47:07.349+01:00[Europe/London]","0.0","4.12"
"Dummy rest CRUD test","6. Verify 3rd id salary is 86000","ERROR","2022-06-08T02:47:11.468+01:00[Europe/London]","0.0","4.09"
"Dummy rest CRUD test","7. Verify 6th id age is 61","ERROR","2022-06-08T02:47:15.561+01:00[Europe/London]","0.0","4.05"
"Dummy rest CRUD test","8. Verify 11th id name is Jena Gaines","ERROR","2022-06-08T02:47:19.612+01:00[Europe/London]","0.0","4.07"
